,0,1
0,København,Frederiksberg
1,København,Gentofte
2,København,Gladsaxe
3,København,Herlev
4,København,Hvidovre
5,København,Rødovre
6,København,Tårnby
7,Ballerup,Glostrup
8,Ballerup,Herlev
9,Ballerup,Albertslund
10,Ballerup,Furesø
11,Ballerup,Egedal
12,Brøndby,Glostrup
13,Brøndby,Albertslund
14,Brøndby,Hvidovre
15,Brøndby,Rødovre
16,Brøndby,Vallensbæk
17,Dragør,Tårnby
18,Gentofte,Gladsaxe
19,Gentofte,Lyngby-Taarbæk
20,Gladsaxe,Herlev
21,Gladsaxe,Lyngby-Taarbæk
22,Gladsaxe,Furesø
23,Glostrup,Herlev
24,Glostrup,Albertslund
25,Glostrup,Rødovre
26,Herlev,Rødovre
27,Herlev,Furesø
28,Albertslund,Høje-Taastrup
29,Albertslund,Vallensbæk
30,Albertslund,Egedal
31,Hvidovre,Rødovre
32,Høje-Taastrup,Ishøj
33,Høje-Taastrup,Vallensbæk
34,Høje-Taastrup,Egedal
35,Høje-Taastrup,Greve
36,Høje-Taastrup,Roskilde
37,Lyngby-Taarbæk,Furesø
38,Lyngby-Taarbæk,Rudersdal
39,Ishøj,Vallensbæk
40,Ishøj,Greve
41,Furesø,Allerød
42,Furesø,Rudersdal
43,Furesø,Egedal
44,Allerød,Fredensborg
45,Allerød,Hillerød
46,Allerød,Hørsholm
47,Allerød,Rudersdal
48,Allerød,Egedal
49,Allerød,Frederikssund
50,Fredensborg,Helsingør
51,Fredensborg,Hillerød
52,Fredensborg,Hørsholm
53,Fredensborg,Gribskov
54,Helsingør,Gribskov
55,Hillerød,Frederikssund
56,Hillerød,Halsnæs
57,Hillerød,Gribskov
58,Hørsholm,Rudersdal
59,Egedal,Frederikssund
60,Egedal,Roskilde
61,Frederikssund,Halsnæs
62,Frederikssund,Roskilde
63,Frederikssund,Lejre
64,Greve,Roskilde
65,Greve,Solrød
66,Køge,Roskilde
67,Køge,Solrød
68,Køge,Faxe
69,Køge,Ringsted
70,Køge,Stevns
71,Køge,Lejre
72,Halsnæs,Gribskov
73,Roskilde,Solrød
74,Roskilde,Lejre
75,Odsherred,Holbæk
76,Odsherred,Kalundborg
77,Holbæk,Kalundborg
78,Holbæk,Ringsted
79,Holbæk,Sorø
80,Holbæk,Lejre
81,Faxe,Ringsted
82,Faxe,Stevns
83,Faxe,Næstved
84,Kalundborg,Slagelse
85,Kalundborg,Sorø
86,Ringsted,Sorø
87,Ringsted,Lejre
88,Ringsted,Næstved
89,Slagelse,Sorø
90,Slagelse,Næstved
91,Sorø,Næstved
92,Lolland,Guldborgsund
93,Næstved,Vordingborg
94,Middelfart,Assens
95,Middelfart,Nordfyns
96,Assens,Faaborg-Midtfyn
97,Assens,Odense
98,Assens,Nordfyns
99,Faaborg-Midtfyn,Kerteminde
100,Faaborg-Midtfyn,Nyborg
101,Faaborg-Midtfyn,Odense
102,Faaborg-Midtfyn,Svendborg
103,Kerteminde,Nyborg
104,Kerteminde,Odense
105,Nyborg,Svendborg
106,Odense,Nordfyns
107,Haderslev,Tønder
108,Haderslev,Esbjerg
109,Haderslev,Vejen
110,Haderslev,Aabenraa
111,Haderslev,Kolding
112,Billund,Varde
113,Billund,Vejen
114,Billund,Vejle
115,Billund,Herning
116,Billund,Ikast-Brande
117,Billund,Ringkøbing-Skjern
118,Sønderborg,Aabenraa
119,Tønder,Esbjerg
120,Tønder,Aabenraa
121,Esbjerg,Varde
122,Esbjerg,Vejen
123,Varde,Vejen
124,Varde,Ringkøbing-Skjern
125,Vejen,Kolding
126,Vejen,Vejle
127,Fredericia,Kolding
128,Fredericia,Vejle
129,Horsens,Odder
130,Horsens,Silkeborg
131,Horsens,Skanderborg
132,Horsens,Ikast-Brande
133,Horsens,Hedensted
134,Kolding,Vejle
135,Vejle,Ikast-Brande
136,Vejle,Hedensted
137,Herning,Holstebro
138,Herning,Ikast-Brande
139,Herning,Ringkøbing-Skjern
140,Herning,Viborg
141,Holstebro,Lemvig
142,Holstebro,Struer
143,Holstebro,Ringkøbing-Skjern
144,Holstebro,Skive
145,Holstebro,Viborg
146,Lemvig,Struer
147,Struer,Thisted
148,Syddjurs,Norddjurs
149,Syddjurs,Favrskov
150,Syddjurs,Randers
151,Syddjurs,Aarhus
152,Norddjurs,Randers
153,Favrskov,Randers
154,Favrskov,Silkeborg
155,Favrskov,Skanderborg
156,Favrskov,Aarhus
157,Favrskov,Viborg
158,Odder,Skanderborg
159,Odder,Aarhus
160,Randers,Viborg
161,Randers,Mariagerfjord
162,Silkeborg,Skanderborg
163,Silkeborg,Ikast-Brande
164,Silkeborg,Viborg
165,Skanderborg,Aarhus
166,Ikast-Brande,Hedensted
167,Ikast-Brande,Viborg
168,Skive,Viborg
169,Thisted,Jammerbugt
170,Viborg,Vesthimmerlands
171,Viborg,Mariagerfjord
172,Brønderslev,Frederikshavn
173,Brønderslev,Jammerbugt
174,Brønderslev,Aalborg
175,Brønderslev,Hjørring
176,Frederikshavn,Hjørring
177,Vesthimmerlands,Rebild
178,Vesthimmerlands,Mariagerfjord
179,Vesthimmerlands,Jammerbugt
180,Vesthimmerlands,Aalborg
181,Rebild,Mariagerfjord
182,Rebild,Aalborg
183,Mariagerfjord,Aalborg
184,Jammerbugt,Aalborg
185,Jammerbugt,Hjørring
